epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,3.20548,0.41607,5.19576,0.9675,0,0,0,0,0.69246,6.08503,0.95808,0,0,0
2,4.19807,0.22543,5.49284,0.96907,0,0,0,0,0.69152,6.08617,0.95852,1.54456e-06,1.54456e-06,1.54456e-06
3,5.12769,0.69772,5.49336,0.91983,0,0,0,0,0.69613,6.08792,0.96182,3.05822e-06,3.05822e-06,3.05822e-06
4,6.09782,0.51495,6.35891,1.05855,0,0,0,0,0.70104,6.09718,0.96396,4.541e-06,4.541e-06,4.541e-06
5,7.06019,0.54504,5.24736,0.93546,0,0,0,0,0.7045,6.1029,0.96642,5.9929e-06,5.9929e-06,5.9929e-06
6,7.90656,1.20829,5.63226,1.505,0,0,0,0,0.70356,6.0955,0.96729,7.4139e-06,7.4139e-06,7.4139e-06
7,8.76999,0.81118,5.34074,0.99619,0,0,0,0,0.70954,6.10432,0.9707,8.80402e-06,8.80402e-06,8.80402e-06
8,9.64749,0.36993,5.092,0.76712,0,0,0,0,0.70547,6.12958,0.97345,1.01632e-05,1.01632e-05,1.01632e-05
9,10.5338,0.38154,5.65124,0.80197,0,0,0,0,0.70554,6.13268,0.9731,1.14916e-05,1.14916e-05,1.14916e-05
10,11.4423,0.56938,5.00796,0.94942,0,0,0,0,0.70743,6.1335,0.97437,1.2789e-05,1.2789e-05,1.2789e-05
11,12.3002,1.09183,5.3213,1.52744,0,0,0,0,0.70855,6.13477,0.97567,1.40556e-05,1.40556e-05,1.40556e-05
12,13.1662,1.12789,5.19786,1.75229,0,0,0,0,0.70224,6.1367,0.97276,1.52913e-05,1.52913e-05,1.52913e-05
13,14.0847,0.27934,5.59689,0.72896,0,0,0,0,0.69851,6.1292,0.97016,1.64961e-05,1.64961e-05,1.64961e-05
14,15.1249,0.22697,4.65627,0.89409,0,0,0,0,0.70071,6.12389,0.97308,1.767e-05,1.767e-05,1.767e-05
